,Unnamed: 0,0
787,787,Shysuu-Poodle-Mini
788,788,Chi-wee-nie
789,789,PAPILLION-X
790,790,Westie-Poodle
791,791,WHOODLE
792,792,Peke-A-Pom
793,793,Rat-Terrier---X
794,794,Chocolate-Labrador-Retriever
795,795,YORKIE-POO
796,796,Catahoula
797,797,LAB-RETRIEVER-MIX
798,798,BOXER-MIX
799,799,BERNSES-MOUNT-DOG-MIX
800,800,TOY-POODLE
801,801,Irish-Weaton
802,802,Glen-Of-Imaal-Terrier
803,803,chi-spaniel
804,804,Labrador--Mixed
805,805,Shih-Tzu-X
806,806,Ori-Pei
807,807,Lab-Bord-Collie-X
808,808,Teddy-Bear
809,809,shepard-mix
810,810,CHI-POO
811,811,Hound-X
812,812,PIT-MIX
813,813,JACK-RUSS-MIX
814,814,CHISH-X
815,815,TIBETAN-TERRIER-MIX
816,816,YORKIE/SHIH-TZU
817,817,Mix-Poodle
818,818,Cattle-Dog-Mix
819,819,Sheltie-Mix
820,820,CHIHUAHUA-JACK-RUSSELL-TERRIER
821,821,MALTI-POO
822,822,GOLDEN-DOODLE
823,823,COCK-A-POO
824,824,Maltese-X
825,825,TERRIER--X
826,826,JACK-RUSSELL
827,827,POINTER-MIX
828,828,MALT---POO
829,829,Mi-KI
830,830,SHIBA-INU-X
831,831,shih-tzu-mix
832,832,TOY-FOX-TERRIER
833,833,Malsish
834,834,maltipoo
835,835,CAVA-POO
836,836,Terrier--Mixed
837,837,Louisiana-Catahoula-Leopard
838,838,Spaniel-Mix
839,839,welsh-terrier
840,840,PITBULL/MASTIFF-MIX
841,841,RAT-TERR-MIX
842,842,RAT-TERRIER-MIX
843,843,DACHSHUND---X
844,844,Mixed-breed
845,845,Pinscher-Mix
846,846,Shitzu-X
847,847,pit-bull
848,848,ENG-SPRINGER-SPANIEL
849,849,SCHNOODLE
850,850,HOUND-X
851,851,Poodle-/Cocker-Spaniel-Mix
852,852,Goldendoddle
853,853,Bull-Mastiff-Mix
854,854,TEACUP-MALTESE
855,855,JACK-RUSSELL--CROSS
856,856,JOY-FOX-TERRIER
857,857,W-HIGH-WT-TERR
858,858,RED-NOSE-PIT-BULL
859,859,Peek-A-Poo
860,860,Mixed-Terrier
861,861,Lab-Pointer-Hound
862,862,CHIH-POMER
863,863,ENG-COCKER-SPANIEL
864,864,Yorkie-Bichon
865,865,SHORKIE-TZU
866,866,LakelandTerrier
867,867,HUSKY/KELPIE
868,868,Schnoodle
869,869,Carolina-Dog
870,870,Viszla-Mix
871,871,HAVACOV
872,872,Amer.Eskimo-Dog-Mix
873,873,SHIHTZU-A-POO
874,874,PEKA-POO
875,875,Beagle/English-Bull-Dog
876,876,Westie
877,877,SHORKY
878,878,GoldenDoodle
879,879,CHIH/POO
880,880,Golden-Doodle
881,881,Chihuahua--Mix
882,882,Jack-Russell-Terrier-Mix
883,883,BL-NOSE-PIT-BULL
884,884,Great-Swiss-Mountain-Dog
885,885,MINI-AUST-SHEP
886,886,chihuahua-yorkie
887,887,Labra-Doodle
888,888,Shepard-Mix
889,889,BICHON-POO
890,890,Toy-Austrialian-Shepherd
891,891,RAT-TERRIER
892,892,SHIHMALT
893,893,Lhaso-Apso-Mix
894,894,Jack-Russell-Terrier/Puggle
895,895,Bull-Dog-/-Beagle
896,896,PARSON-RUSSELL-TERR
897,897,Fox-Hound-Mix
898,898,Berger-Pichard
899,899,Shotzy-Mix
900,900,TOY-POODLE-MIX
901,901,MALTESE/POODLE
902,902,MALTIPOO
903,903,whoodle
904,904,Miniature-Dacshund
905,905,BRUSSEL-GRIFFON
906,906,WHIPPET-MIX
907,907,LHASA-APSO-MIX
908,908,SILKY-POO
909,909,PORTUGESE-W.DOG
910,910,YORKIDOODLE
911,911,Maltese/-Shih-Tzu-Mix
912,912,Toy-Aussie
913,913,westie-terrier-schnauser-mix
914,914,Australian-Labradoodle
915,915,HAVANESE-MIX
916,916,Havanese/Maltese
917,917,chow-mix
918,918,Yorkie-Mixed
919,919,Golden-Retiever-Mix
920,920,cock-a-poo
921,921,AUST-CTTLE-DG-X
922,922,Stafford-Shire-mix
923,923,Cockalier
924,924,Pit-Bull--Mix
925,925,mixed-breed
926,926,GSD-TERRIER
927,927,Beagle--Chow--Shepherd-Mix
928,928,spaniel-mix
929,929,WELSH-SPRINGER-SPANIEL
930,930,Plott-Hound-Mix
931,931,JACK-RUSS-TERRI
932,932,terrier-daschund-mix
933,933,TOY-SCHNAUZER
934,934,Staffordshire-Terrier-Mix
935,935,CORKY-MIX
936,936,POODLE/MALTESE
937,937,SHINESE
938,938,boggle
939,939,Pomeranian---Poodle-Mix
940,940,corg-mix
941,941,LHASA-POO
942,942,"Pembroke-Welsh-Corgi,-Dachshund,-Spaniel-Mix"
943,943,RUSSKIY-TOY-SMOOTHHAIRED
944,944,ITAL-GREYHOUND-MIX
945,945,Huckapoo
946,946,MALSHIPOO
947,947,Mutt
948,948,Shichon
949,949,French-Beagle
950,950,JACK-RUSSEL--&-TOY-FOX-TERR
951,951,COOCKER-POO
952,952,chih/dach-mix
953,953,yorkie-poodle
954,954,"rotweiller,-german-shepard"
955,955,American-Bull-Dog
956,956,schnoodle
957,957,BREED?
958,958,HavaChon
959,959,BEAGLE----X
960,960,FOX-TERRIER-X
961,961,Lhasa-Poo
962,962,FEIST-MIX
963,963,CHIHUAHUA-TERRIER
964,964,MALTESE-SHIHTZU
965,965,Miniature-Dachshund
966,966,Boxer-Chow-Lab-Mix
967,967,GOLDENDOODLE
968,968,MALTI-SHI
969,969,Peek--A-Poo
970,970,BRITISH-LAB
971,971,MASTIFF-X
972,972,pointer-mix
973,973,staffordshire-Terrier-mix
974,974,YORKSHIRE-TERRI
975,975,Miniature-Pincher-Mix
976,976,Retreiver-X
977,977,Chihuahua-Mixed
978,978,Sheltie-Poo
979,979,retriever-mix
980,980,KOOIKERHONDJE
981,981,FRENCHIE
982,982,POINTER-X
983,983,Breed-Information-Not-Provided.
984,984,Aust.Shepherd-Mix
985,985,Part-Golden-Retriever
986,986,DUTCH-SHEPHERD-MIX
987,987,DOBERMAN
988,988,BASENJI/TERR-X
989,989,Chiuaua-Pug-mix
990,990,Yellow-Lab-Mix
991,991,LABRADOR/TERRIER
992,992,Pekingese---Maltese-Mix
